id,area,Subbasin,LSUID,ESTACIÓN
107,98.6747,20,691,1 Peralejos
108,2894.68687,20,692,1 Peralejos
117,148.48073,20,751,1 Peralejos
118,2599.03773,20,752,1 Peralejos
129,56.93011,24,811,1 Peralejos
130,2373.69197,24,812,1 Peralejos
143,160.47918,24,891,1 Peralejos
144,4540.59828,24,892,1 Peralejos
179,115.98495,22,1111,1 Peralejos
180,2427.49749,22,1112,1 Peralejos
215,66.55386,22,1351,1 Peralejos
216,1335.26423,22,1352,1 Peralejos
277,446.81702,24,1861,1 Peralejos
278,9574.57004,24,1862,1 Peralejos
303,119.23453,22,2031,1 Peralejos
304,3078.53801,22,2032,1 Peralejos
307,38.30753,22,2051,1 Peralejos
308,3686.77158,22,2052,1 Peralejos
309,162.35393,22,2101,1 Peralejos
310,7324.04958,22,2102,1 Peralejos
133,138.98196,36,841,172 Huete
134,2685.83897,36,842,172 Huete
135,304.02305,36,851,172 Huete
136,6020.09379,36,852,172 Huete
167,373.26406,36,1031,172 Huete
168,2055.17081,36,1032,172 Huete
183,252.7797,36,1131,172 Huete
184,2044.10974,36,1132,172 Huete
195,483.12481,36,1201,172 Huete
196,4096.28094,36,1202,172 Huete
247,355.45387,36,1621,172 Huete
248,4537.22372,36,1622,172 Huete
249,701.84642,36,1661,172 Huete
250,7903.53688,36,1662,172 Huete
251,285.1505,36,1681,172 Huete
252,3810.00559,36,1682,172 Huete
169,133.10773,35,1051,173 La Peraleja
170,1419.19084,35,1052,173 La Peraleja
175,182.47632,35,1081,173 La Peraleja
176,1513.86605,35,1082,173 La Peraleja
203,439.38048,35,1271,173 La Peraleja
204,3468.61239,35,1272,173 La Peraleja
221,171.41526,35,1411,173 La Peraleja
222,1648.59857,35,1412,173 La Peraleja
241,180.16412,35,1571,173 La Peraleja
242,3695.89539,35,1572,173 La Peraleja
257,183.22622,35,1711,173 La Peraleja
258,2364.63065,35,1712,173 La Peraleja
259,51.05587,35,1731,173 La Peraleja
260,1682.65665,35,1732,173 La Peraleja
261,230.84504,35,1751,173 La Peraleja
262,2650.71852,35,1752,173 La Peraleja
263,93.55036,35,1761,173 La Peraleja
264,2128.28632,35,1762,173 La Peraleja
265,145.35614,35,1771,173 La Peraleja
266,3155.84048,35,1772,173 La Peraleja
141,209.28534,29,881,186 Priego-Trabaque
142,2202.27672,29,882,186 Priego-Trabaque
151,671.10041,29,941,186 Priego-Trabaque
152,8961.21213,29,942,186 Priego-Trabaque
171,328.14492,29,1061,186 Priego-Trabaque
172,1747.21077,29,1062,186 Priego-Trabaque
197,643.29152,29,1221,186 Priego-Trabaque
198,4298.56719,29,1222,186 Priego-Trabaque
207,344.20533,29,1291,186 Priego-Trabaque
208,2851.13002,29,1292,186 Priego-Trabaque
269,691.28529,29,1801,186 Priego-Trabaque
270,6296.99536,29,1802,186 Priego-Trabaque
283,318.70864,29,1891,186 Priego-Trabaque
284,5049.09479,29,1892,186 Priego-Trabaque
289,203.34861,29,1921,186 Priego-Trabaque
290,1787.8305,29,1922,186 Priego-Trabaque
293,93.73784,29,1951,186 Priego-Trabaque
294,2100.10248,29,1952,186 Priego-Trabaque
165,319.39605,16,1021,268 Taravillas
166,5055.219,16,1022,268 Taravillas
319,356.51624,16,2211,268 Taravillas
320,9286.16996,16,2212,268 Taravillas
337,324.58288,16,2431,268 Taravillas
338,5274.94049,16,2432,268 Taravillas
61,103.42408,3,431,30 Ventosa
62,2140.53473,3,432,30 Ventosa
63,199.03667,3,441,30 Ventosa
64,2643.2195,3,442,30 Ventosa
69,641.60424,3,471,30 Ventosa
70,7118.07631,3,472,30 Ventosa
75,288.77503,3,501,30 Ventosa
76,2345.0082,3,502,30 Ventosa
81,197.91182,3,531,30 Ventosa
82,1958.62084,3,532,30 Ventosa
91,349.26718,3,601,30 Ventosa
92,1210.6554,3,602,30 Ventosa
95,419.82052,7,621,30 Ventosa
96,3032.73145,7,622,30 Ventosa
97,226.47061,7,631,30 Ventosa
98,2468.42968,7,632,30 Ventosa
113,195.84959,7,731,30 Ventosa
114,5086.15249,7,732,30 Ventosa
127,423.88249,7,801,30 Ventosa
128,7462.84407,7,802,30 Ventosa
149,185.60092,7,931,30 Ventosa
150,4211.391,7,932,30 Ventosa
157,603.04674,7,971,30 Ventosa
158,7543.33362,7,972,30 Ventosa
177,162.16646,7,1091,30 Ventosa
178,2710.52326,7,1092,30 Ventosa
193,72.11564,7,1191,30 Ventosa
194,2646.40658,7,1192,30 Ventosa
199,394.19885,7,1231,30 Ventosa
200,7333.36087,7,1232,30 Ventosa
213,617.54486,13,1341,30 Ventosa
214,8467.77616,13,1342,30 Ventosa
227,148.23076,3,1441,30 Ventosa
228,2264.33116,3,1442,30 Ventosa
317,248.96769,7,2191,30 Ventosa
318,3503.10791,7,2192,30 Ventosa
323,198.66172,7,2291,30 Ventosa
324,4081.97029,7,2292,30 Ventosa
343,112.73537,13,2461,30 Ventosa
344,4316.43987,13,2462,30 Ventosa
353,19.87242,13,2571,30 Ventosa
354,1875.6316,13,2572,30 Ventosa
367,226.28314,3,2751,30 Ventosa
368,2054.10844,3,2752,30 Ventosa
375,67.74121,3,2841,30 Ventosa
376,1819.63887,3,2842,30 Ventosa
88,540.36738,18,581,41 Alcantud
89,7150.25963,18,582,41 Alcantud
105,70.74082,18,681,41 Alcantud
106,3100.28519,18,682,41 Alcantud
109,129.42071,18,711,41 Alcantud
110,3315.00732,18,712,41 Alcantud
111,170.2904,18,721,41 Alcantud
112,3923.9908,18,722,41 Alcantud
123,346.95498,18,781,41 Alcantud
124,5299.68728,18,782,41 Alcantud
173,391.88665,18,1071,41 Alcantud
174,9635.06219,18,1072,41 Alcantud
223,559.30242,18,1421,41 Alcantud
224,5409.61051,18,1422,41 Alcantud
231,671.16291,18,1481,41 Alcantud
232,11000.13505,18,1482,41 Alcantud
333,127.23349,18,2391,41 Alcantud
334,3945.30053,18,2392,41 Alcantud
99,319.20858,25,651,45 Priego-Escabas
100,3204.2092,25,652,45 Priego-Escabas
115,374.63888,25,741,45 Priego-Escabas
116,4359.62176,25,742,45 Priego-Escabas
161,405.38489,25,1001,45 Priego-Escabas
162,6725.81471,25,1002,45 Priego-Escabas
211,248.78022,25,1331,45 Priego-Escabas
212,5838.86731,25,1332,45 Priego-Escabas
275,102.67418,25,1851,45 Priego-Escabas
276,3875.24712,25,1852,45 Priego-Escabas
281,90.9257,25,1881,45 Priego-Escabas
282,2368.56764,25,1882,45 Priego-Escabas
299,18.56009,25,2011,45 Priego-Escabas
300,2530.79659,25,2012,45 Priego-Escabas
301,388.32461,25,2021,45 Priego-Escabas
