Subbasin,Category,AreaHa,ESTACIÓN,gis_id
1,1,723.094,Trillo,11
1,2,14353.5,Trillo,12
2,1,622.732,Trillo,21
2,2,15436.7,Trillo,22
3,1,2222.27,30 Ventosa,31
3,2,23554.199,30 Ventosa,32
4,1,606.921,Trillo,41
4,2,16951.699,Trillo,42
5,1,221.971,Trillo,51
5,2,7505.03,Trillo,52
6,1,194.6,Trillo,61
6,2,3217.21,Trillo,62
7,1,3130.78,30 Ventosa,71
7,2,50080.199,30 Ventosa,72
8,1,1174.6,Trillo,81
8,2,17814.9,Trillo,82
9,1,664.164,Trillo,91
9,2,14285,Trillo,92
10,1,1124.67,Trillo,101
10,2,19115.5,Trillo,102
11,1,760.526,Trillo,111
11,2,15091.4,Trillo,112
13,1,750.153,30 Ventosa,131
13,2,14659.8,30 Ventosa,132
14,1,406.635,Trillo,141
14,2,10815.8,Trillo,142
15,1,823.706,Trillo,151
15,2,16751.301,Trillo,152
16,1,1000.5,268 Taravillas,161
16,2,19616.301,268 Taravillas,162
17,1,492.311,Trillo,171
17,2,12250.2,Trillo,172
18,1,3007.36,41 Alcantud,181
18,2,52779.301,41 Alcantud,182
20,1,247.155,1 Peralejos,201
20,2,5493.72,1 Peralejos,202
22,1,502.435,1 Peralejos,221
22,2,17852.1,1 Peralejos,222
24,1,664.226,1 Peralejos,241
24,2,16488.9,1 Peralejos,242
25,1,1948.5,45 Priego-Escabas,251
25,2,32354,45 Priego-Escabas,252
29,1,3503.11,186 Priego-Trabaque,291
29,2,35294.398,186 Priego-Trabaque,292
35,1,1810.58,173 La Peraleja,351
35,2,23728.301,173 La Peraleja,352
36,1,2894.62,172 Huete,361
36,2,33152.301,172 Huete,362
3,1,2222.27,Trillo,31
3,2,23554.199,Trillo,32
7,1,3130.78,Trillo,71
7,2,50080.199,Trillo,72
13,1,750.153,Trillo,131
13,2,14659.8,Trillo,132
16,1,1000.5,Trillo,161
16,2,19616.301,Trillo,162
20,1,247.155,Trillo,201
20,2,5493.72,Trillo,202
22,1,502.435,Trillo,221
22,2,17852.1,Trillo,222
24,1,664.226,Trillo,241
24,2,16488.9,Trillo,242
